date,aqi,range,quality_level,pm25,pm10,co,no2,so2,o3,year,month_num,ym,season,no2_norm,so2_norm,co_norm,pm25_norm,o3_norm,no2_contrib,so2_contrib,co_contrib,pm25_contrib,o3_contrib,risk_score,risk_level,main_risk_type
2013-12-01,182,46~412,中度污染,144,177,1.557,82,39,39,2013,12,2013-12,冬季,100.0,97.2972972972973,100.0,100.0,6.976744186046512,25.0,19.459459459459463,20.0,20.0,1.0465116279069766,85.50597108736645,高风险,交通燃烧型
2014-01-01,131,44~270,轻度污染,100,102,1.045,67,27,54,2014,1,2014-01,冬季,78.57142857142857,64.86486486486487,57.19063545150501,66.15384615384615,18.6046511627907,19.642857142857142,12.972972972972975,11.438127090301002,13.23076923076923,2.7906976744186047,60.07542411131896,中风险,复合污染型
2014-02-01,90,21~282,良,67,76,0.914,43,16,54,2014,2,2014-02,冬季,44.285714285714285,35.13513513513514,46.23745819397994,40.76923076923077,18.6046511627907,11.071428571428571,7.027027027027028,9.247491638795989,8.153846153846153,2.7906976744186047,38.29049106551634,低风险,交通燃烧型
2014-03-01,97,44~184,良,71,101,0.952,56,22,91,2014,3,2014-03,春季,62.857142857142854,51.35135135135135,49.414715719063544,43.84615384615385,47.286821705426355,15.714285714285714,10.27027027027027,9.88294314381271,8.76923076923077,7.093023255813953,51.72975315341342,中风险,复合污染型
2014-04-01,85,43~161,良,62,83,0.807,49,19,103,2014,4,2014-04,春季,52.85714285714286,43.24324324324324,37.29096989966556,36.92307692307693,56.58914728682171,13.214285714285715,8.64864864864865,7.458193979933113,7.384615384615386,8.488372093023255,45.19411582050611,中风险,复合污染型
2014-05-01,107,54~195,轻度污染,76,120,0.861,48,21,139,2014,5,2014-05,春季,51.42857142857142,48.64864864864865,41.80602006688963,47.69230769230769,84.49612403100775,12.857142857142856,9.729729729729732,8.361204013377927,9.538461538461538,12.674418604651162,53.160956743363215,中风险,臭氧复合污染型
2014-06-01,96,39~195,良,61,84,0.87,39,21,138,2014,6,2014-06,夏季,38.57142857142858,48.64864864864865,42.55852842809365,36.15384615384615,83.72093023255815,9.642857142857144,9.729729729729732,8.51170568561873,7.230769230769231,12.558139534883722,47.673201323858564,中风险,臭氧污染型
2014-07-01,93,44~210,良,56,78,0.839,35,14,129,2014,7,2014-07,夏季,32.857142857142854,29.72972972972973,39.96655518394649,32.30769230769231,76.74418604651163,8.214285714285714,5.9459459459459465,7.993311036789298,6.461538461538462,11.511627906976743,40.12670906553616,中风险,臭氧复合污染型
2014-08-01,83,23~164,良,52,72,0.958,45,16,114,2014,8,2014-08,夏季,47.14285714285714,35.13513513513514,49.91638795986622,29.230769230769234,65.11627906976744,11.785714285714285,7.027027027027028,9.983277591973245,5.846153846153847,9.767441860465116,44.409614611333524,中风险,交通燃烧型
2014-09-01,71,31~140,良,42,63,0.843,42,16,111,2014,9,2014-09,秋季,42.857142857142854,35.13513513513514,40.30100334448161,21.53846153846154,62.7906976744186,10.714285714285714,7.027027027027028,8.060200668896321,4.307692307692308,9.41860465116279,39.527810369064156,低风险,臭氧复合污染型
2014-10-01,84,51~170,良,54,88,0.835,58,23,112,2014,10,2014-10,秋季,65.71428571428571,54.054054054054056,39.63210702341137,30.76923076923077,63.565891472868216,16.428571428571427,10.810810810810812,7.926421404682275,6.153846153846154,9.534883720930232,50.854533518840896,中风险,复合污染型
2014-11-01,95,48~202,良,71,90,1.033,68,30,67,2014,11,2014-11,秋季,80.0,72.97297297297297,56.187290969899664,43.84615384615385,28.68217054263566,20.0,14.594594594594595,11.237458193979933,8.76923076923077,4.3023255813953485,58.903609139200654,中风险,复合污染型
2014-12-01,109,53~183,轻度污染,81,122,1.2,73,40,40,2014,12,2014-12,冬季,87.14285714285714,100.0,70.15050167224081,51.53846153846153,7.751937984496124,21.785714285714285,20.0,14.030100334448163,10.307692307692307,1.1627906976744184,67.28629762552917,中风险,复合污染型
2015-01-01,128,36~221,轻度污染,96,112,1.142,68,31,48,2015,1,2015-01,冬季,80.0,75.67567567567568,65.3010033444816,63.07692307692307,13.953488372093023,20.0,15.135135135135137,13.060200668896321,12.615384615384615,2.093023255813953,62.903743675230025,中风险,复合污染型
2015-02-01,98,32~229,良,72,90,0.946,49,21,72,2015,2,2015-02,冬季,52.85714285714286,48.64864864864865,48.91304347826087,44.61538461538462,32.55813953488372,13.214285714285715,9.729729729729732,9.782608695652174,8.923076923076925,4.883720930232558,46.533421992977104,中风险,交通燃烧型
2015-03-01,85,43~179,良,60,74,0.89,57,18,82,2015,3,2015-03,春季,64.28571428571429,40.54054054054054,44.23076923076923,35.38461538461539,40.310077519379846,16.071428571428573,8.108108108108109,8.846153846153847,7.0769230769230775,6.046511627906977,46.14912523052058,中风险,交通燃烧型
