site_id,site_name,functional_zone,pollutant,average_time,observed_range,unit,reference_limit,compliance,monitoring_period,source_url,data_boundary
G1,胜浦（金淞湾花园西南侧）,高端制造与国际贸易区,铅,1h,ND～0.157,μg/m3,0.5,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G2,出口加工区（南侧空地）,高端制造与国际贸易区,铅,1h,ND～0.152,μg/m3,0.5,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G3,东沙湖,高端制造与国际贸易区,铅,1h,ND～0.167,μg/m3,0.5,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G4,金鸡湖学校苏桐路校区,金鸡湖商务区,铅,1h,ND～0.159,μg/m3,0.5,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G5,度假区（星湖医院）,阳澄湖半岛旅游度假区,铅,1h,ND～0.163,μg/m3,0.5,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G6,科创区（独墅湖医院）,独墅湖科教创新区,铅,1h,ND～0.175,μg/m3,0.5,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G1,胜浦（金淞湾花园西南侧）,高端制造与国际贸易区,氟化物,1h,ND,μg/m3,20,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G2,出口加工区（南侧空地）,高端制造与国际贸易区,氟化物,1h,ND,μg/m3,20,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G3,东沙湖,高端制造与国际贸易区,氟化物,1h,ND,μg/m3,20,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G4,金鸡湖学校苏桐路校区,金鸡湖商务区,氟化物,1h,ND,μg/m3,20,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
