month,aqi,pm25,pm10,co,no2,so2,o3,avg_temp_c,relative_humidity_pct,precipitation_mm,sunshine_hours,shortwave_radiation_mj_m2,avg_wind_speed_kmh,pressure_msl_hpa
2013-12,182.0,144.0,177.0,1.557,82.0,39.0,39.0,5.823,66.903,30.2,266.098,342.37,10.477,1025.668
2014-01,131.0,100.0,102.0,1.045,67.0,27.0,54.0,6.419,69.839,22.0,255.043,362.57,10.981,1025.926
2014-02,90.0,67.0,76.0,0.914,43.0,16.0,54.0,6.07,79.5,107.5,125.753,245.12,13.754,1024.296
2014-03,97.0,71.0,101.0,0.952,56.0,22.0,91.0,11.851,70.505,103.0,243.112,481.09,12.452,1020.79
2014-04,85.0,62.0,83.0,0.807,49.0,19.0,103.0,16.158,76.456,105.8,215.348,475.48,12.18,1016.31
2014-05,107.0,76.0,120.0,0.861,48.0,21.0,139.0,22.046,68.903,83.5,281.739,625.62,12.794,1010.765
2014-06,96.0,61.0,84.0,0.87,39.0,21.0,138.0,24.204,79.611,208.9,209.495,457.2,10.58,1005.297
2014-07,93.0,56.0,78.0,0.839,35.0,14.0,129.0,27.902,82.968,248.7,250.611,505.9,10.852,1005.168
2014-08,83.0,52.0,72.0,0.958,45.0,16.0,114.0,26.302,85.194,242.7,181.451,392.09,9.435,1006.771
2014-09,71.0,42.0,63.0,0.843,42.0,16.0,111.0,24.253,82.4,102.5,227.468,387.75,12.283,1011.333
2014-10,84.0,54.0,88.0,0.835,58.0,23.0,112.0,19.723,73.419,40.1,288.866,459.14,11.406,1018.797
2014-11,95.0,71.0,90.0,1.033,68.0,30.0,67.0,14.067,75.661,45.7,201.657,301.43,10.697,1022.18
2014-12,109.0,81.0,122.0,1.2,73.0,40.0,40.0,5.383,63.806,10.1,257.664,339.51,11.348,1028.274
2015-01,128.0,96.0,112.0,1.142,68.0,31.0,48.0,6.04,70.806,39.2,207.152,308.9,11.584,1026.994
2015-02,98.0,72.0,90.0,0.946,49.0,21.0,72.0,6.927,73.5,93.0,169.987,307.19,10.939,1024.15
2015-03,85.0,60.0,74.0,0.89,57.0,18.0,82.0,10.962,75.29,83.5,221.007,437.92,11.084,1022.071
2015-04,92.0,63.0,92.0,0.947,63.0,23.0,121.0,16.129,71.6,69.1,245.87,544.46,12.337,1015.75
2015-05,86.0,46.0,69.0,0.771,46.0,16.0,136.0,20.991,75.656,151.0,254.115,546.46,11.997,1009.39
2015-06,77.0,43.0,65.0,0.787,41.0,13.0,122.0,24.408,83.067,530.6,172.678,422.23,10.78,1005.52
2015-07,72.0,39.0,59.0,0.745,38.0,14.0,113.0,26.892,81.581,184.2,254.371,508.34,11.126,1004.613
2015-08,85.0,42.0,67.0,0.784,37.0,17.0,133.0,27.675,79.968,258.3,278.487,529.3,11.123,1006.661
2015-09,83.0,39.0,62.0,0.777,45.0,20.0,134.0,23.875,79.3,49.7,255.302,446.26,9.727,1012.753
2015-10,85.0,53.0,93.0,0.861,58.0,21.0,116.0,19.34,75.774,57.9,253.419,404.74,9.571,1019.094
2015-11,82.0,54.0,75.0,1.123,56.0,21.0,58.0,13.481,83.167,98.4,126.494,209.61,11.463,1023.07
2015-12,122.0,87.0,113.0,1.297,71.0,29.0,38.0,7.463,77.129,74.7,203.234,269.19,10.068,1027.439
2016-01,104.0,72.0,99.0,1.132,68.0,23.0,53.0,4.219,76.452,76.0,166.005,257.0,11.587,1027.487
2016-02,88.0,62.0,92.0,1.024,50.0,20.0,84.0,6.945,67.207,23.1,250.901,427.3,11.838,1026.659
2016-03,90.0,63.0,92.0,0.935,57.0,20.0,91.0,11.453,70.129,43.5,239.027,467.85,11.919,1021.632
2016-04,85.0,46.0,82.0,0.917,52.0,15.0,127.0,17.094,79.567,220.7,196.978,471.45,12.413,1012.997
2016-05,89.0,43.0,80.0,0.89,46.0,14.0,128.0,20.781,79.613,314.8,202.065,473.31,11.816,1010.971
2016-06,81.0,32.0,57.0,0.803,43.0,13.0,126.0,24.529,85.167,383.7,187.779,405.82,10.563,1006.607
2016-07,82.0,31.0,57.0,0.735,36.0,13.0,126.0,30.185,79.677,167.1,296.925,595.81,10.129,1004.9
2016-08,81.0,23.0,48.0,0.758,33.0,13.0,133.0,29.573,74.774,33.3,347.373,621.1,11.003,1005.106
2016-09,82.0,33.0,60.0,0.983,50.0,14.0,117.0,24.587,79.067,168.5,214.309,397.93,11.053,1011.237
2016-10,61.0,27.0,47.0,0.935,47.0,15.0,69.0,20.294,83.462,150.9,112.181,226.95,12.216,1017.29
2016-11,86.0,51.0,80.0,1.09,67.0,21.0,57.0,12.986,81.233,71.0,170.81,262.18,11.0,1022.883
2016-12,108.0,74.0,97.0,1.19,68.0,24.0,64.0,8.849,77.194,54.9,205.556,267.57,10.977,1026.074
2017-01,86.0,58.0,68.0,1.0,50.0,18.0,63.0,6.63,75.548,53.4,196.214,286.73,11.242,1026.758
2017-02,88.0,64.0,68.0,0.968,48.0,18.0,89.0,6.769,68.786,28.5,201.948,351.01,11.532,1026.107
2017-03,78.0,53.0,66.0,0.919,50.0,16.0,113.0,10.48,70.645,81.4,218.023,444.84,11.468,1021.068
2017-04,104.0,47.0,83.0,0.957,53.0,16.0,151.0,17.549,69.667,97.9,253.306,557.4,11.977,1014.01
2017-05,106.0,29.0,59.0,0.742,40.0,13.0,159.0,22.028,73.0,91.4,280.54,604.64,12.413,1011.706
2017-06,84.0,31.0,51.0,0.73,39.0,9.0,131.0,24.223,80.5,155.5,209.148,472.32,10.26,1007.433
2017-07,79.0,27.0,52.0,0.648,34.0,10.0,133.0,31.706,72.226,60.7,340.168,670.61,9.535,1005.929
2017-08,74.0,25.0,43.0,0.816,30.0,8.0,126.0,29.868,76.871,106.9,284.876,540.33,10.387,1005.594
2017-09,68.0,28.0,45.0,0.803,42.0,10.0,98.0,24.413,81.056,189.4,190.804,357.41,11.217,1011.627
2017-10,61.0,29.0,47.0,0.819,42.0,13.0,93.0,18.721,78.194,49.8,193.62,318.99,12.774,1020.068
