month,avg_temp_c,relative_humidity_pct,precipitation_mm,sunshine_hours,shortwave_radiation_mj_m2,avg_wind_speed_kmh,dominant_wind_direction_deg,pressure_msl_hpa,site_count,days_observed,coverage_pct,is_complete
2013-12,5.823,66.903,30.2,266.098,342.37,10.477,332.2,1025.668,6,31,100.0,True
2014-01,6.419,69.839,22.0,255.043,362.57,10.981,74.2,1025.926,6,31,100.0,True
2014-02,6.07,79.5,107.5,125.753,245.12,13.754,35.0,1024.296,6,28,100.0,True
2014-03,11.851,70.505,103.0,243.112,481.09,12.452,86.3,1020.79,6,31,100.0,True
2014-04,16.158,76.456,105.8,215.348,475.48,12.18,94.7,1016.31,6,30,100.0,True
2014-05,22.046,68.903,83.5,281.739,625.62,12.794,141.6,1010.765,6,31,100.0,True
2014-06,24.204,79.611,208.9,209.495,457.2,10.58,102.1,1005.297,6,30,100.0,True
2014-07,27.902,82.968,248.7,250.611,505.9,10.852,130.4,1005.168,6,31,100.0,True
2014-08,26.302,85.194,242.7,181.451,392.09,9.435,59.8,1006.771,6,31,100.0,True
2014-09,24.253,82.4,102.5,227.468,387.75,12.283,53.1,1011.333,6,30,100.0,True
2014-10,19.723,73.419,40.1,288.866,459.14,11.406,37.1,1018.797,6,31,100.0,True
2014-11,14.067,75.661,45.7,201.657,301.43,10.697,29.0,1022.18,6,30,100.0,True
2014-12,5.383,63.806,10.1,257.664,339.51,11.348,314.6,1028.274,6,31,100.0,True
2015-01,6.04,70.806,39.2,207.152,308.9,11.584,345.7,1026.994,6,31,100.0,True
2015-02,6.927,73.5,93.0,169.987,307.19,10.939,42.6,1024.15,6,28,100.0,True
2015-03,10.962,75.29,83.5,221.007,437.92,11.084,88.4,1022.071,6,31,100.0,True
2015-04,16.129,71.6,69.1,245.87,544.46,12.337,68.0,1015.75,6,30,100.0,True
2015-05,20.991,75.656,151.0,254.115,546.46,11.997,121.8,1009.39,6,31,100.0,True
2015-06,24.408,83.067,530.6,172.678,422.23,10.78,125.0,1005.52,6,30,100.0,True
2015-07,26.892,81.581,184.2,254.371,508.34,11.126,96.9,1004.613,6,31,100.0,True
2015-08,27.675,79.968,258.3,278.487,529.3,11.123,104.3,1006.661,6,31,100.0,True
2015-09,23.875,79.3,49.7,255.302,446.26,9.727,39.8,1012.753,6,30,100.0,True
2015-10,19.34,75.774,57.9,253.419,404.74,9.571,58.9,1019.094,6,31,100.0,True
2015-11,13.481,83.167,98.4,126.494,209.61,11.463,7.2,1023.07,6,30,100.0,True
2015-12,7.463,77.129,74.7,203.234,269.19,10.068,344.0,1027.439,6,31,100.0,True
2016-01,4.219,76.452,76.0,166.005,257.0,11.587,10.6,1027.487,6,31,100.0,True
2016-02,6.945,67.207,23.1,250.901,427.3,11.838,312.8,1026.659,6,29,100.0,True
2016-03,11.453,70.129,43.5,239.027,467.85,11.919,82.7,1021.632,6,31,100.0,True
2016-04,17.094,79.567,220.7,196.978,471.45,12.413,121.5,1012.997,6,30,100.0,True
2016-05,20.781,79.613,314.8,202.065,473.31,11.816,98.7,1010.971,6,31,100.0,True
2016-06,24.529,85.167,383.7,187.779,405.82,10.563,134.1,1006.607,6,30,100.0,True
2016-07,30.185,79.677,167.1,296.925,595.81,10.129,147.8,1004.9,6,31,100.0,True
2016-08,29.573,74.774,33.3,347.373,621.1,11.003,86.7,1005.106,6,31,100.0,True
2016-09,24.587,79.067,168.5,214.309,397.93,11.053,59.9,1011.237,6,30,100.0,True
2016-10,20.294,83.462,150.9,112.181,226.95,12.216,34.7,1017.29,6,31,100.0,True
2016-11,12.986,81.233,71.0,170.81,262.18,11.0,24.7,1022.883,6,30,100.0,True
2016-12,8.849,77.194,54.9,205.556,267.57,10.977,12.6,1026.074,6,31,100.0,True
2017-01,6.63,75.548,53.4,196.214,286.73,11.242,24.2,1026.758,6,31,100.0,True
2017-02,6.769,68.786,28.5,201.948,351.01,11.532,38.3,1026.107,6,28,100.0,True
2017-03,10.48,70.645,81.4,218.023,444.84,11.468,48.7,1021.068,6,31,100.0,True
2017-04,17.549,69.667,97.9,253.306,557.4,11.977,143.8,1014.01,6,30,100.0,True
2017-05,22.028,73.0,91.4,280.54,604.64,12.413,131.4,1011.706,6,31,100.0,True
2017-06,24.223,80.5,155.5,209.148,472.32,10.26,130.7,1007.433,6,30,100.0,True
2017-07,31.706,72.226,60.7,340.168,670.61,9.535,169.9,1005.929,6,31,100.0,True
2017-08,29.868,76.871,106.9,284.876,540.33,10.387,153.4,1005.594,6,31,100.0,True
2017-09,24.413,81.056,189.4,190.804,357.41,11.217,61.4,1011.627,6,30,100.0,True
2017-10,18.721,78.194,49.8,193.62,318.99,12.774,24.7,1020.068,6,31,100.0,True
2017-11,13.193,74.6,47.6,190.422,282.86,10.623,30.6,1023.297,6,30,100.0,True
2017-12,6.598,69.129,24.3,230.002,304.7,10.432,7.1,1027.848,6,31,100.0,True
2018-01,3.724,78.645,99.1,160.386,253.96,12.077,5.6,1026.206,6,31,100.0,True
2018-02,5.287,71.464,51.0,187.281,344.6,11.314,34.2,1025.082,6,28,100.0,True
2018-03,12.485,76.742,65.2,238.9,459.67,12.497,98.1,1019.394,6,31,100.0,True
2018-04,17.991,69.533,73.2,274.821,583.1,12.59,112.5,1015.163,6,30,100.0,True
2018-05,22.851,77.677,118.5,217.693,505.39,11.203,123.7,1010.429,6,31,100.0,True
2018-06,25.673,76.1,127.1,270.465,565.52,10.657,130.1,1006.217,6,30,100.0,True
2018-07,29.422,80.258,114.2,311.871,604.32,13.139,127.4,1004.481,6,31,100.0,True
2018-08,29.589,80.387,105.4,306.847,559.97,13.561,99.4,1003.319,6,31,100.0,True
2018-09,25.583,78.4,95.9,239.537,428.3,8.713,27.4,1012.31,6,30,100.0,True
2018-10,18.73,66.355,9.9,258.351,434.06,10.639,16.3,1020.032,6,31,100.0,True
2018-11,13.991,80.967,71.3,167.553,256.47,10.367,38.4,1022.87,6,30,100.0,True
2018-12,7.584,80.161,114.2,130.999,200.57,12.771,10.4,1027.858,6,31,100.0,True
2019-01,5.62,78.323,54.2,146.106,239.25,10.097,4.5,1028.3,6,31,100.0,True
2019-02,6.0,83.0,106.2,110.603,214.76,11.396,34.9,1025.225,6,28,100.0,True
2019-03,11.831,73.323,64.7,227.713,455.41,11.252,99.0,1019.535,6,31,100.0,True
2019-04,17.042,77.733,48.4,216.394,489.57,11.17,103.9,1014.327,6,30,100.0,True
2019-05,21.172,68.097,106.3,283.742,632.36,10.587,115.1,1012.039,6,31,100.0,True
2019-06,24.391,79.856,228.1,257.781,528.42,10.93,116.7,1006.17,6,30,100.0,True
2019-07,27.954,82.419,167.0,298.951,549.12,9.787,117.9,1004.013,6,31,100.0,True
2019-08,28.613,81.968,187.2,315.545,565.47,11.855,101.0,1004.716,6,31,100.0,True
2019-09,24.371,80.767,224.8,267.566,468.66,9.833,21.5,1013.367,6,30,100.0,True
2019-10,19.516,77.091,17.3,241.243,390.14,9.555,21.8,1019.084,6,31,100.0,True
2019-11,14.244,72.222,21.5,200.939,298.32,10.637,28.1,1023.273,6,30,100.0,True
2019-12,8.421,77.366,62.5,195.461,270.92,11.194,6.4,1026.548,6,31,100.0,True
2020-01,6.836,82.452,136.5,135.585,210.53,11.91,351.7,1025.123,6,31,100.0,True
2020-02,8.79,76.655,53.4,191.165,335.48,11.703,70.9,1025.848,6,29,100.0,True
2020-03,12.5,73.419,114.3,233.315,446.85,12.365,69.3,1019.316,6,31,100.0,True
2020-04,15.584,66.633,39.5,289.936,632.15,11.443,88.4,1019.26,6,30,100.0,True
2020-05,22.811,76.581,110.0,266.035,577.52,11.535,133.4,1009.448,6,31,100.0,True
2020-06,25.777,85.933,418.9,192.135,430.32,9.94,139.8,1005.413,6,30,100.0,True
2020-07,26.68,87.258,378.5,167.337,398.51,10.161,141.2,1005.6,6,31,100.0,True
2020-08,30.408,77.269,153.0,323.043,605.61,12.458,158.7,1005.929,6,31,100.0,True
2020-09,23.957,80.267,120.1,239.734,431.67,8.53,19.4,1012.103,6,30,100.0,True
2020-10,18.513,75.0,43.8,239.151,383.31,9.968,35.7,1020.781,6,31,100.0,True
2020-11,14.648,77.267,30.5,198.24,281.19,11.387,26.1,1024.923,6,30,100.0,True
2020-12,6.436,70.452,7.7,232.058,294.64,10.79,357.8,1028.455,6,31,100.0,True
2021-01,5.19,66.806,15.2,239.39,330.18,11.335,346.1,1026.471,6,31,100.0,True
2021-02,10.08,73.821,54.5,179.236,321.36,11.821,69.6,1022.3,6,28,100.0,True
2021-03,12.256,78.161,104.0,179.725,395.26,11.942,74.3,1019.984,6,31,100.0,True
2021-04,16.789,73.067,66.1,228.886,508.29,11.687,87.3,1017.78,6,30,100.0,True
2021-05,22.39,75.129,167.8,248.823,576.29,11.645,162.8,1009.297,6,31,100.0,True
2021-06,25.614,81.211,182.0,237.104,494.64,10.407,127.2,1005.76,6,30,100.0,True
2021-07,28.933,81.935,456.6,249.872,506.62,14.687,126.8,1003.468,6,31,100.0,True
2021-08,28.358,84.355,216.1,273.783,506.64,9.177,82.8,1006.439,6,31,100.0,True
2021-09,26.579,80.133,110.4,281.178,470.06,11.317,56.1,1010.983,6,30,100.0,True
2021-10,20.346,77.742,58.8,242.2,383.23,11.352,45.4,1020.203,6,31,100.0,True
2021-11,13.253,71.567,37.3,249.13,344.33,11.647,328.9,1022.057,6,30,100.0,True
2021-12,7.18,68.839,4.8,256.158,325.92,10.2,351.6,1027.871,6,31,100.0,True
2022-01,5.948,76.871,65.5,176.701,259.78,10.281,34.2,1026.232,6,31,100.0,True
2022-02,5.212,74.179,57.8,139.63,284.91,10.304,40.3,1027.9,6,28,100.0,True
2022-03,13.496,72.774,154.7,231.558,454.93,12.745,86.7,1017.761,6,31,100.0,True
2022-04,17.251,70.294,177.8,244.287,539.44,11.25,96.6,1016.69,6,30,100.0,True
2022-05,20.49,70.806,39.9,258.552,575.28,10.661,122.2,1012.958,6,31,100.0,True
2022-06,26.738,78.267,146.7,279.895,568.73,11.497,154.9,1004.973,6,30,100.0,True
2022-07,30.868,76.065,71.8,361.548,652.25,9.981,173.2,1004.077,6,31,100.0,True
2022-08,31.16,71.565,35.2,325.081,618.58,10.219,137.4,1006.358,6,31,100.0,True
2022-09,24.084,77.933,164.0,239.455,405.76,12.137,17.0,1011.493,6,30,100.0,True
2022-10,18.395,72.581,23.3,225.86,378.72,11.684,34.5,1021.994,6,31,100.0,True
2022-11,15.624,80.9,68.8,183.58,270.6,11.523,44.9,1020.637,6,30,100.0,True
2022-12,5.281,68.516,32.8,214.991,280.98,11.168,338.0,1028.003,6,31,100.0,True
2023-01,5.58,70.258,64.3,236.456,342.68,11.265,0.4,1026.735,6,31,100.0,True
2023-02,7.193,74.571,50.3,169.245,303.71,11.218,44.8,1026.6,6,28,100.0,True
2023-03,12.548,69.016,62.1,211.301,438.06,11.19,86.1,1020.871,6,31,100.0,True
2023-04,17.272,70.9,59.8,228.353,485.61,13.05,115.6,1014.54,6,30,100.0,True
2023-05,21.906,73.043,125.4,242.969,539.1,11.71,120.2,1011.268,6,31,100.0,True
2023-06,25.863,79.467,318.5,209.924,468.01,9.94,145.2,1006.477,6,30,100.0,True
2023-07,29.617,82.645,249.9,213.921,464.81,11.494,158.3,1005.348,6,31,100.0,True
2023-08,28.715,80.903,162.6,298.268,542.53,9.51,61.7,1004.745,6,31,100.0,True
2023-09,25.843,83.833,170.0,216.053,379.94,8.987,50.7,1011.84,6,30,100.0,True
2023-10,19.818,76.226,16.9,258.811,410.32,9.203,41.9,1019.506,6,31,100.0,True
2023-11,13.702,68.467,26.7,255.17,359.93,11.9,327.8,1023.29,6,30,100.0,True
2023-12,5.966,70.645,34.4,229.596,291.61,10.91,323.4,1027.216,6,31,100.0,True
2024-01,5.295,73.839,34.6,229.252,321.41,11.281,341.1,1027.403,6,31,100.0,True
2024-02,6.146,80.241,117.8,143.004,257.67,12.993,349.0,1025.331,6,29,100.0,True
2024-03,12.037,71.645,60.7,241.06,470.28,11.91,62.3,1019.187,6,31,100.0,True
2024-04,17.312,78.733,193.8,149.251,378.62,11.76,93.4,1012.787,6,30,100.0,True
2024-05,21.195,71.446,89.3,291.777,636.98,11.932,112.1,1013.219,6,31,100.0,True
2024-06,24.529,82.5,419.9,191.705,426.19,10.067,150.8,1007.473,6,30,100.0,True
2024-07,31.174,74.806,156.5,276.121,574.66,13.148,163.5,1004.355,6,31,100.0,True
2024-08,31.651,71.409,71.4,358.868,640.2,8.606,113.1,1005.177,6,31,100.0,True
2024-09,27.821,79.533,105.0,260.937,438.13,12.773,64.8,1009.96,6,30,100.0,True
2024-10,19.588,79.742,131.7,188.993,313.63,12.239,12.3,1019.252,6,31,100.0,True
2024-11,14.766,73.494,102.4,195.684,288.75,12.337,6.3,1023.353,6,30,100.0,True
2024-12,6.505,68.419,19.4,244.14,316.62,10.255,337.5,1027.332,6,31,100.0,True
2025-01,5.841,64.226,11.7,268.556,376.03,10.913,340.6,1026.445,6,31,100.0,True
2025-02,6.008,66.821,25.5,204.104,350.83,10.771,13.9,1027.271,6,28,100.0,True
2025-03,12.364,66.419,83.7,231.187,470.63,12.297,341.3,1020.129,6,31,100.0,True
2025-04,18.784,62.117,56.2,299.171,640.9,12.68,182.1,1012.743,6,30,100.0,True
2025-05,22.564,67.634,140.7,305.155,650.27,13.839,149.7,1010.652,6,31,100.0,True
2025-06,25.891,80.567,346.2,198.857,458.46,10.99,148.1,1006.51,6,30,100.0,True
2025-07,30.037,76.968,172.9,342.59,606.9,15.51,104.7,1003.465,6,31,100.0,True
2025-08,30.936,76.194,123.7,323.205,618.14,9.916,156.8,1007.123,6,31,100.0,True
2025-09,27.914,82.367,156.6,253.293,428.81,8.38,68.7,1011.747,6,30,100.0,True
2025-10,22.022,78.419,40.5,225.971,358.09,11.342,31.9,1019.303,6,31,100.0,True
2025-11,13.143,68.9,9.9,220.941,328.93,11.22,353.3,1023.843,6,30,100.0,True
2025-12,8.855,67.29,6.6,263.868,326.98,11.89,20.7,1024.961,6,31,100.0,True
2026-01,5.292,67.0,36.4,227.962,326.47,12.148,7.4,1026.739,6,31,100.0,True
2026-02,8.272,71.25,53.4,207.121,353.65,11.329,55.0,1022.986,6,28,100.0,True
2026-03,11.516,74.355,82.0,201.22,417.6,11.452,70.7,1021.323,6,31,100.0,True
2026-04,17.062,76.3,150.0,207.182,460.08,11.903,79.1,1013.13,6,30,100.0,True
2026-05,23.009,71.065,123.3,289.082,606.55,12.816,137.2,1011.071,6,31,100.0,True
2026-06,24.833,78.35,215.4,230.96,478.43,9.72,100.1,1007.467,6,30,100.0,True
